Item,Requirement,BulletPoints
1.20,,Trap foundation wire loop between wedge and top bar and nail within loops
1.20,,Nail up into both bottom bars
1.21,Be able to discuss spacing of the combs in the brood chamber and super for both foundation and drawn comb and methods used to achieve this spacing.,Wax foundation encourages bees to build the desired (worker or drone) sized cells in an orderly manner across the whole available surface
1.21,,Brood chamber – bee space (11 or 12 frames in National)
1.21,,"Spacing can be achieved using Hoffman Frames, castellated spacers, metal or plastic ends"
1.21,,Super frames can be set wider once drawn comb is employed so more honey is stored per frame using either different castellations or size of end spacers
2.1,Be able to give an elementary account of the development of queens. workers and drones in the honey bee colony;,Queen: Egg – laid in or moved by workers to queen cell (like monkey nut hanging down)
2.1,,Queen: Lava – continuously fed on royal jelly
2.1,,Queen: 1-5 days after emergence – groomed and fed by workers
2.1,,Queen: About 3 days wings fully open and is capable of flight
2.1,,Queen: 5-14 days series of mating flights
2.1,,Queen: 5 days after final mating starts to lay eggs
2.1,,Queen: Continues laying productively for 2-3 years
2.1,,"Worker: Eggs – laid in open cells, at first erect, gradually lying down"
2.1,,"Worker: Larvae – cared for by adult workers, Continuously fed (first 2 days royal jelly, then brood food - a mixture royal jelly, honey and pollen)"
2.1,,"Worker: Pupae – in sealed cells, no feeding, develops into adult and emerges on its own"
2.1,,Worker: 1-2 days after emergence – cleans cells and warm brood nest
2.1,,Worker: 3-5 days – feed older lava with honey and pollen
2.1,,Worker: 6-10 days – feed younger lavae with royal jelly
2.1,,"Worker: 11-18 days – ripen nectar, produce wax and construct comb"
2.1,,"Worker: 19-21 days – guarding and ventilation, take exercise and orientation flights to learn to fly and locate the hive"
2.1,,"Worker: 22+ days – forage for nectar, pollen, water or propolis"
2.1,,"Drone: Same development as workers, until adult stage, when only role is to mate with the Queen"
2.2,"Be able to state the periods spent by the female castes and the drone in the four stages of their life (egg, larva, pupa and adult);",Egg hatches: Queen - day 3; Worker - day 3; Drone - day 3
2.2,,Lava sealed: : Queen - day 8; Worker - day 9; Drone - day 10
2.2,,Adult emerges: Queen - day 16; Worker - day 21; Drone - day 24
2.2,,"Death: Queen - Upto 5 years but 2-3 years in reality due beekeeper; Worker - About 6 weeks, but 3- 6 months in winter; Drone - Until Autumn if not mated, otherwise after mating"
2.3,Be able to name the main local flora from which honey bees gather pollen and nectar;,"Very Early – crocus, snowdrops, flowering currant, hazel"
2.3,,"Spring – fruit blossoms, rape, dandelions, sycamore, garden flowers"
2.3,,"Summer- field beans, borage, garden flowers, clovers, chestnuts (propolis)"
2.3,,"Autumn – blackberries, ivy, willowherb"
2.4,"Be able to give a simple definition of nectar and a simple description of how it is collected, brought back to the hive and is converted into honey;",Nectar is a sugar substance created by flowers to entice insects to visit
2.4,,"Nectar is up to 80% water, bees have a preference lower water content nectar"
2.4,,Nectar is ingested by the bee into its honey stomack and regurgitated back at the hive
2.4,,Hive bees add enzymes to the nectar to break down its complex sugars and then store it in the comb
2.4,,Nectar is fanned to evaporate and reduce water content to about 18% at which point it will not ferment
2.4,,"Finally, when ripe it is sealed under capping of wax"
2.4,,Nectar - Collection: Carried from flowers in honey stomach of foraging bees then processed into honey by hive bees
2.4,,Nectar - Use: Food – carbohydrate for energy
2.5,"Be able to give a simple description of the collection and use of pollen, water and propolis in the honey bee colony;",Pollen -  Collection: Carried from flowers in pollen baskets on hind legs (will attach to hairs all over bee until combed and pressed into baskets). Converted into bee bread / brood food by hive bees for feeding to larvae
2.5,,Pollen -  Use: Food – protein for growth
2.5,,Propolis - Collection: Carried from plant wounds and buds in pollen baskets
2.5,,Propolis - Use: Seal cracks in hive; Reinforce and clean old comb; Entomb dead animals in hive; Limits bacterial and fungal growth;
2.5,,Water - Collection: Carried in [honey] stomach; some bees are speiclaist water collectors
2.5,,Water - Use: Mixed with honey before bees eat it or feed to brood; Used to cool hive on hot days – action of evaporation
2.6,Be able to give an elementary description of the way in which the honey bee colony passes the winter.,"Winter workers – large fat bodies, live for up to 6 months, cluster in a hive to retain warmth, vibrate wing muscles to generate heat"
2.6,,Rotate positions to take turns on the colder outer edge of the cluster
2.6,,10-20k workers over winter to regenerate colony in spring
2.6,,No drones
2.6,,Queen in centre of cluster
2.6,,"Warmer days water and cleansing flights, water employed on stores"
2.7,Be able to give an elementary description of how to set up an apiary;,Consideration for the public
2.7,,Availability of forage and water
2.7,,"Environment – wind, sun, damp, frost pocket, flooding, livestock"
2.7,,Access and space for the beekeeper
2.7,,"Hive Stand - ergonomic height, secure"
2.7,,Position close to high barrier to make bees go up
2.7,,Warning notices
2.7,,Strapping in high winds
2.7,,Entrace direection / orientation
